Year,Winner,Party,Winner mention share,Winner vote share,Loser,Loser mention share,Loser vote share,Attention leader won
1960,John Kennedy,D,50.0%,49.7%,Richard Nixon,50.0%,49.5%,
1964,Lyndon Johnson,D,53.7%,61.0%,Barry Goldwater,46.3%,38.5%,✓
1968,Richard Nixon,R,53.5%,43.4%,Hubert Humphrey,46.5%,42.7%,✓
1972,Richard Nixon,R,71.4%,60.7%,George McGovern,28.6%,37.5%,✓
1976,Jimmy Carter,D,58.0%,50.1%,Gerald Ford,42.0%,48.0%,✓
1980,Ronald Reagan,R,33.5%,50.7%,Jimmy Carter,66.5%,41.0%,
1984,Ronald Reagan,R,82.8%,58.8%,Walter Mondale,17.2%,40.6%,✓
1988,George Bush,R,70.5%,53.4%,Michael Dukakis,29.5%,45.6%,✓
1992,Bill Clinton,D,29.4%,43.0%,George Bush,70.6%,37.5%,
1996,Bill Clinton,D,67.5%,49.2%,Bob Dole,32.5%,40.7%,✓
2000,Al Gore,D,62.7%,48.4%,George W. Bush,37.3%,47.9%,✓
2004,George W. Bush,R,81.7%,50.7%,John Kerry,18.3%,48.3%,✓
2008,Barack Obama,D,56.9%,52.9%,John McCain,43.1%,45.6%,✓
2012,Barack Obama,D,93.1%,51.1%,Mitt Romney,6.9%,47.2%,✓
2016,Hillary Clinton,D,60.1%,48.2%,Donald Trump,39.9%,46.1%,✓
