year,state,winner,loser,winner_party,loser_party,winner_pct,loser_pct
1960,Arizona,Paul Fannin,Lee Ackerman,R,D,0.593,0.407
1960,Arkansas,Orval Faubus,Henry M. Britt,D,R,0.6920999999999999,0.3079
1960,Delaware,Elbert N. Carvel,John W. Rollins,D,R,0.5173,0.4827
1960,Florida,C. Farris Bryant,George C. Petersen,D,R,0.5985,0.4015999999999999
1960,Illinois,Otto Kerner Jr.,William Stratton,D,R,0.5550999999999999,0.4429999999999999
1960,Indiana,Matthew E. Welsh,Crawford F. Parker,D,R,0.5039,0.493
1960,Iowa,Norman Erbe,Edward McManus,R,D,0.5214,0.4785999999999999
1960,Kansas,John Anderson Jr.,George Docking,R,D,0.555,0.436
1960,Louisiana,Jimmie Davis,Francis Grevemberg,D,R,0.8151999999999999,0.17
1960,Maine,John H. Reed,Frank M. Coffin,R,D,0.527,0.473
1960,Massachusetts,John A. Volpe,Joseph D. Ward,R,D,0.5251,0.4679
1960,Michigan,John B. Swainson,Paul Douglas Bagwell,D,R,0.5047999999999999,0.492
1960,Minnesota,Elmer Andersen,Orville Freeman,R,D,0.5056,0.4907999999999999
1960,Missouri,John M. Dalton,Edward G. Farmer,D,R,0.58,0.42
1960,Montana,Donald Grant Nutter,Paul C. Cannon,R,D,0.5511,0.4489
1960,Nebraska,Frank B. Morrison,John Cooper,D,R,0.52,0.48
1960,New Hampshire,Wesley Powell,Bernard L. Boutin,R,D,0.5546,0.4454
1960,New Mexico,Edwin L. Mechem,John Burroughs,R,D,0.5032,0.4967
1960,North Carolina,Terry Sanford,Robert L. Gavin,D,R,0.5445,0.4547
1960,North Dakota,William L. Guy,Clarence P. Dahl,D,R,0.4943999999999999,0.4448
1960,Rhode Island,John A. Notte Jr.,Christopher Del Sesto,D,R,0.5664,0.4336
1960,South Dakota,Archie M. Gubbrud,Ralph Herseth,R,D,0.5073,0.4927
1960,Texas,Price Daniel,William Steger,D,R,0.728,0.272
1960,Utah,George Dewey Clyde,William A. Barlocker,R,D,0.5266,0.4734
1960,Vermont,F. Ray Keyser Jr.,Russell Niquette,R,D,0.564,0.436
1960,Washington,Albert Rosellini,Lloyd J. Andrews,D,R,0.5034000000000001,0.4886999999999999
1960,West Virginia,Wally Barron,Harold E. Neely,D,R,0.5399,0.4600999999999999
1960,Wisconsin,Gaylord A. Nelson,Philip G. Kuehn,D,R,0.5155,0.4844
1961,New Jersey,Richard J. Hughes,James P. Mitchell,D,R,0.504,0.487
1961,Virginia,Albertis Harrison,H. Clyde Pearson,D,R,0.639,0.361
1962,Alaska,William A. Egan,Mike Stepovich,D,R,0.5227,0.4772999999999999
1962,Arizona,Paul Fannin,Samuel Goddard,R,D,0.5479999999999999,0.452
1962,Arkansas,Orval Faubus,Willis Ricketts,D,R,0.7326999999999999,0.2673
1962,California,Pat Brown,Richard Nixon,D,R,0.5194,0.4686999999999999
1962,Colorado,John Arthur Love,Stephen McNichols,R,D,0.5667,0.4264
1962,Connecticut,John N. Dempsey,John deKoven Alsop,D,R,0.5321,0.4679
