year,country,source,winner_name,loser_name,winner_party,loser_party,winner_vote_pct,loser_vote_pct,winner_mention_share,loser_mention_share,winner_ngrams_freq,loser_ngrams_freq,attention_leader_won,status
1949,Australia,Google Ngrams,Robert Menzies,Ben Chifley,Liberal,Labor,51.0,49.0,0.7656751607670182,0.23432483923298175,1.5881360670988443e-07,4.8602821101084714e-08,1.0,ok
1951,Australia,Google Ngrams,Robert Menzies,Herbert Evatt,Liberal,Labor,50.7,49.3,0.7430792411637052,0.25692075883629484,1.3777089513666851e-07,4.763449301670164e-08,1.0,ok
1954,Australia,Google Ngrams,Robert Menzies,Herbert Evatt,Liberal,Labor,50.7,49.3,0.7766150002293898,0.22338499977061022,1.0730820143578512e-07,3.086605659952113e-08,1.0,ok
1958,Australia,Google Ngrams,Robert Menzies,Herbert Evatt,Liberal,Labor,54.1,45.9,0.8621733112668253,0.13782668873317472,4.502966000075048e-08,7.1984238569910985e-09,1.0,ok
1961,Australia,Google Ngrams,Robert Menzies,Arthur Calwell,Liberal,Labor,50.5,49.5,0.7257683004646587,0.2742316995353413,4.003732456681064e-08,1.512811120818469e-08,1.0,ok
1963,Australia,Google Ngrams,Robert Menzies,Arthur Calwell,Liberal,Labor,52.7,47.3,0.8999219087570497,0.1000780912429503,1.6249693146619393e-07,1.8070882124021637e-08,1.0,ok
1966,Australia,Google Ngrams,Harold Holt,Arthur Calwell,Liberal,Labor,57.0,43.0,0.8744307027244304,0.12556929727556965,1.9117452865202722e-07,2.745289151562247e-08,1.0,ok
1969,Australia,Google Ngrams,John Gorton,Gough Whitlam,Liberal,Labor,50.2,49.8,0.8137665936783284,0.18623340632167162,1.4247939361666795e-07,3.260692071904714e-08,1.0,ok
1972,Australia,Google Ngrams,Gough Whitlam,William McMahon,Labor,Liberal,52.7,47.3,0.3845728347103618,0.6154271652896381,9.329188088713636e-08,1.4929384661854783e-07,0.0,ok
1974,Australia,Google Ngrams,Gough Whitlam,Billy Snedden,Labor,Liberal,51.7,48.3,0.9552337190630269,0.0447662809369731,2.824794052003199e-07,1.3238176332919238e-08,1.0,ok
1977,Australia,Google Ngrams,Malcolm Fraser,Gough Whitlam,Liberal,Labor,54.4,45.6,0.7586593882587893,0.2413406117412107,4.4880530936097784e-07,1.4277151194619364e-07,1.0,ok
1980,Australia,Google Ngrams,Malcolm Fraser,Bill Hayden,Liberal,Labor,50.4,49.6,0.8982898409332392,0.10171015906676084,4.978086565188278e-07,5.636510103101955e-08,1.0,ok
1983,Australia,Google Ngrams,Bob Hawke,Malcolm Fraser,Labor,Liberal,53.2,46.8,0.32498631569668157,0.6750136843033184,1.6201691721562383e-07,3.3651766528919325e-07,0.0,ok
1984,Australia,Google Ngrams,Bob Hawke,Andrew Peacock,Labor,Liberal,51.8,48.2,0.7787702265210348,0.22122977347896522,2.65593612880366e-07,7.544871749587401e-08,1.0,ok
1987,Australia,Google Ngrams,Bob Hawke,John Howard,Labor,Liberal,50.8,49.2,0.3145069048249703,0.6854930951750298,2.6354955195984076e-07,5.7442744605396e-07,0.0,ok
1990,Australia,Google Ngrams,Bob Hawke,Andrew Peacock,Labor,Liberal,49.9,50.1,0.8412166229603453,0.15878337703965473,2.8441003507850837e-07,5.368365840752176e-08,1.0,ok
1996,Australia,Google Ngrams,John Howard,Paul Keating,Liberal,Labor,53.6,46.4,0.6978883324100529,0.3021116675899471,6.303042709987494e-07,2.7285493331419275e-07,1.0,ok
1998,Australia,Google Ngrams,John Howard,Kim Beazley,Liberal,Labor,49.0,51.0,0.9185816013885466,0.08141839861145339,6.800135281537223e-07,6.027293864008243e-08,1.0,ok
2001,Australia,Google Ngrams,John Howard,Kim Beazley,Liberal,Labor,51.0,49.0,0.882690854875579,0.11730914512442103,7.397945012144191e-07,9.83182957270401e-08,1.0,ok
2004,Australia,Google Ngrams,John Howard,Mark Latham,Liberal,Labor,52.7,47.3,0.9012244258141863,0.09877557418581373,8.35644954122472e-07,9.158796387964685e-08,1.0,ok
2007,Australia,Google Ngrams,Kevin Rudd,John Howard,Labor,Liberal,52.7,47.3,0.08276125407013811,0.9172387459298619,9.138982193235279e-08,1.0128687222277222e-06,0.0,ok
2010,Australia,Google Ngrams,Julia Gillard,Tony Abbott,Labor,Liberal,50.1,49.9,0.6353663719439517,0.36463362805604826,8.420682551246728e-08,4.83258819627963e-08,1.0,ok
2013,Australia,Google Ngrams,Tony Abbott,Kevin Rudd,Liberal,Labor,53.5,46.5,0.3242716331219966,0.6757283668780034,6.977268718344476e-08,1.453947220397822e-07,0.0,ok
2016,Australia,Google Ngrams,Malcolm Turnbull,Bill Shorten,Liberal,Labor,50.4,49.6,0.6789396652814567,0.32106033471854334,5.765574506710891e-08,2.7264532853621404e-08,1.0,ok
