year,country,source,winner_name,loser_name,winner_party,loser_party,winner_vote_pct,loser_vote_pct,winner_mention_share,loser_mention_share,winner_ngrams_freq,loser_ngrams_freq,attention_leader_won,status
1945,Canada,Google Ngrams,Mackenzie King,John Bracken,Liberal,PC,39.8,27.6,0.9143094607757433,0.08569053922425673,1.581697574692953e-06,1.4823921645756855e-07,1,ok
1949,Canada,Google Ngrams,Louis St. Laurent,George Drew,Liberal,PC,49.2,29.7,0.5730125381979196,0.42698746180208036,1.1257721510560259e-07,8.388832029027071e-08,1,ok
1953,Canada,Google Ngrams,Louis St. Laurent,George Drew,Liberal,PC,48.8,31.0,0.657148385418159,0.342851614581841,9.235975539922947e-08,4.8186516110604316e-08,1,ok
1957,Canada,Google Ngrams,John Diefenbaker,Louis St. Laurent,PC,Liberal,38.9,40.9,0.4730452290306198,0.5269547709693803,8.531494977148668e-08,9.503767728347157e-08,0,ok
1958,Canada,Google Ngrams,John Diefenbaker,Lester Pearson,PC,Liberal,53.7,33.5,0.5321561080186813,0.4678438919813187,1.4848725271576768e-07,1.3054224723418884e-07,1,ok
1962,Canada,Google Ngrams,John Diefenbaker,Lester Pearson,PC,Liberal,37.2,37.2,0.550773284282719,0.449226715717281,1.2490000145248814e-07,1.0187207521994424e-07,1,ok
1963,Canada,Google Ngrams,Lester Pearson,John Diefenbaker,Liberal,PC,41.5,32.7,0.5401603811584867,0.45983961884151325,1.6793003965176467e-07,1.429591804935626e-07,1,ok
1965,Canada,Google Ngrams,Lester Pearson,John Diefenbaker,Liberal,PC,40.2,32.4,0.6887662861258309,0.3112337138741691,2.0096661756952017e-07,9.081104579422572e-08,1,ok
1968,Canada,Google Ngrams,Pierre Trudeau,Robert Stanfield,Liberal,PC,45.4,31.4,0.5494351823818984,0.45056481761810163,5.743192854623658e-08,4.709710488270957e-08,1,ok
1972,Canada,Google Ngrams,Pierre Trudeau,Robert Stanfield,Liberal,PC,38.4,35.0,0.7697223305577069,0.2302776694422931,1.2965266904529926e-07,3.878816201563495e-08,1,ok
1974,Canada,Google Ngrams,Pierre Trudeau,Robert Stanfield,Liberal,PC,43.2,35.4,0.7510395548719033,0.24896044512809667,1.3613760074804304e-07,4.5127952930101856e-08,1,ok
1979,Canada,Google Ngrams,Joe Clark,Pierre Trudeau,PC,Liberal,35.9,40.1,0.5245143942229461,0.4754856057770539,2.3183533670589895e-07,2.1016461460021674e-07,1,ok
1980,Canada,Google Ngrams,Pierre Trudeau,Joe Clark,Liberal,PC,44.3,32.5,0.39560499603230764,0.6043950039676924,2.272874297659655e-07,3.4724381237083435e-07,0,ok
1984,Canada,Google Ngrams,Brian Mulroney,John Turner,PC,Liberal,50.0,28.0,0.4886351774550764,0.5113648225449237,2.431744690056803e-07,2.5448611751244243e-07,0,ok
1988,Canada,Google Ngrams,Brian Mulroney,John Turner,PC,Liberal,43.0,31.9,0.6947871454418332,0.3052128545581668,5.907003810534661e-07,2.5948860837843313e-07,1,ok
2004,Canada,Google Ngrams,Paul Martin,Stephen Harper,Liberal,Conservative,36.7,29.6,0.7480748297531945,0.2519251702468055,3.276559255027678e-07,1.1034293834200071e-07,1,ok
2006,Canada,Google Ngrams,Stephen Harper,Paul Martin,Conservative,Liberal,36.3,30.2,0.34018743973562476,0.6598125602643752,1.822853832322835e-07,3.5355269289993885e-07,0,ok
2008,Canada,Google Ngrams,Stephen Harper,Stephane Dion,Conservative,Liberal,37.7,26.3,0.927290015456961,0.07270998454303901,2.291914924512639e-07,1.7971195198640544e-08,1,ok
2015,Canada,Google Ngrams,Justin Trudeau,Stephen Harper,Liberal,Conservative,39.5,31.9,0.07577516949205665,0.9242248305079434,2.334136262049924e-08,2.8469308688272577e-07,0,ok
2019,Canada,Google Ngrams,Justin Trudeau,Andrew Scheer,Liberal,Conservative,33.1,34.3,0.9760283294287335,0.02397167057126648,2.498243318882487e-07,6.1357917635618264e-09,1,ok
