year,state,source,winner,loser,winner_party,winner_vote_pct,loser_vote_pct,winner_mention_share,loser_mention_share,winner_ngrams_freq,loser_ngrams_freq,attention_leader_won,status
1960,AZ,Google Ngrams,Paul Fannin,Lee Ackerman,R,0.593,0.407,0.8480622976973736,0.15193770230262638,6.765338764411211e-07,1.2120690071407147e-07,1.0,ok
1960,AR,Google Ngrams,Orval Faubus,Henry M. Britt,D,0.6920999999999999,0.3079,0.9762020930020959,0.023797906997904072,1.3009574861277962e-06,3.171481139513377e-08,1.0,ok
1960,DE,Google Ngrams,Elbert N. Carvel,John W. Rollins,D,0.5173,0.4827,0.6997612950008248,0.30023870499917515,4.298454827633691e-07,1.8442896458636948e-07,1.0,ok
1960,FL,Google Ngrams,C. Farris Bryant,George C. Petersen,D,0.5985,0.4015999999999999,0.773907146304926,0.22609285369507404,6.163902945173494e-08,1.8007514382412104e-08,1.0,ok
1960,IL,Google Ngrams,Otto Kerner Jr.,William Stratton,D,0.5550999999999999,0.4429999999999999,0.5045004916863403,0.49549950831365974,2.474007889934071e-06,2.4298681829404423e-06,1.0,ok
1960,IN,Google Ngrams,Matthew E. Welsh,Crawford F. Parker,D,0.5039,0.493,0.7270708651687315,0.27292913483126846,4.6000142447238934e-07,1.7267614041069357e-07,1.0,ok
1960,IA,Google Ngrams,Norman Erbe,Edward McManus,R,0.5214,0.4785999999999999,0.18171752863063306,0.8182824713693669,5.7850471479187204e-08,2.605033599598072e-07,0.0,ok
1960,KS,Google Ngrams,John Anderson Jr.,George Docking,R,0.555,0.436,0.9973349768573477,0.0026650231426522675,0.0001405896426298625,3.756758360229373e-07,1.0,ok
1960,LA,Google Ngrams,Jimmie Davis,Francis Grevemberg,D,0.8151999999999999,0.17,0.9878682646823472,0.01213173531765277,6.917019228225296e-07,8.494598871533476e-09,1.0,ok
1960,ME,Google Ngrams,John H. Reed,Frank M. Coffin,R,0.527,0.473,0.681890435067478,0.31810956493252196,1.2515099779980554e-06,5.838434946961457e-07,1.0,ok
