year,source,d_attention_share,r_attention_share,d_seat_share,r_seat_share,d_seats,majority,attention_majority,attn_predicts_majority
1962,Google Ngrams,0.5547858898669615,0.4452141101330384,0.593103448275862,0.4068965517241379,258,D,D,1
1964,Google Ngrams,0.5502857578079772,0.4497142421920228,0.6781609195402298,0.3218390804597701,295,D,D,1
1966,Google Ngrams,0.549130400030699,0.450869599969301,0.5701149425287356,0.4298850574712644,248,D,D,1
1968,Google Ngrams,0.5460329503319055,0.4539670496680945,0.5586206896551724,0.4413793103448276,243,D,D,1
1970,Google Ngrams,0.5623879709739783,0.4376120290260217,0.5862068965517241,0.4137931034482759,255,D,D,1
1972,Google Ngrams,0.5780129353258315,0.4219870646741685,0.5563218390804597,0.4436781609195402,242,D,D,1
1974,Google Ngrams,0.5906008780819634,0.4093991219180366,0.6689655172413793,0.3310344827586207,291,D,D,1
1976,Google Ngrams,0.592521596685993,0.407478403314007,0.671264367816092,0.328735632183908,292,D,D,1
1978,Google Ngrams,0.6082469270787582,0.3917530729212418,0.6367816091954023,0.3632183908045977,277,D,D,1
1980,Google Ngrams,0.5970201459989358,0.4029798540010642,0.5586206896551724,0.4413793103448276,243,D,D,1
1982,Google Ngrams,0.596212428171093,0.403787571828907,0.6183908045977011,0.3816091954022989,269,D,D,1
1984,Google Ngrams,0.6253876958151713,0.3746123041848286,0.5816091954022988,0.4183908045977011,253,D,D,1
1986,Google Ngrams,0.6111140678184923,0.3888859321815076,0.593103448275862,0.4068965517241379,258,D,D,1
1988,Google Ngrams,0.6183490509161608,0.3816509490838393,0.5977011494252874,0.4022988505747126,260,D,D,1
1990,Google Ngrams,0.6258870874724869,0.374112912527513,0.6137931034482759,0.3862068965517241,267,D,D,1
1992,Google Ngrams,0.6308723557188075,0.3691276442811925,0.593103448275862,0.4068965517241379,258,D,D,1
1994,Google Ngrams,0.5758920224550997,0.4241079775449002,0.4689655172413793,0.5310344827586206,204,R,D,0
1996,Google Ngrams,0.5089126164549463,0.4910873835450536,0.4758620689655172,0.5241379310344827,207,R,D,0
1998,Google Ngrams,0.53840034634093,0.4615996536590699,0.4850574712643678,0.5149425287356322,211,R,D,0
2000,Google Ngrams,0.5471060243529593,0.4528939756470407,0.4873563218390804,0.5126436781609196,212,R,D,0
2002,Google Ngrams,0.5728061320349438,0.4271938679650561,0.4689655172413793,0.5310344827586206,204,R,D,0
2004,Google Ngrams,0.5688676900631591,0.4311323099368409,0.464367816091954,0.535632183908046,202,R,D,0
2006,Google Ngrams,0.565461461962291,0.434538538037709,0.535632183908046,0.464367816091954,233,D,D,1
2008,Google Ngrams,0.5596525454250708,0.4403474545749291,0.5908045977011495,0.4091954022988505,257,D,D,1
2010,Google Ngrams,0.5399120638778282,0.4600879361221718,0.4436781609195402,0.5563218390804598,193,R,D,0
2012,Google Ngrams,0.5153711068188215,0.4846288931811785,0.4620689655172413,0.5379310344827586,201,R,D,0
2014,Google Ngrams,0.5335552026182306,0.46644479738176936,0.432183908045977,0.5678160919540229,188,R,D,0
2016,Google Ngrams,0.5363315298432938,0.4636684701567062,0.4459770114942529,0.554022988505747,194,R,D,0
2018,Google Ngrams,0.5387326734207321,0.46126732657926794,0.5402298850574713,0.45977011494252873,235,D,D,1
