year,country,source,winner_name,loser_name,winner_party,loser_party,winner_vote_pct,loser_vote_pct,winner_mention_share,loser_mention_share,winner_ngrams_freq,loser_ngrams_freq,attention_leader_won,status
1946,New Zealand,Google Ngrams,Peter Fraser,Sidney Holland,Labour,National,51.3,48.4,0.9919135476835831,0.008086452316416914,1.3677576049531126e-07,1.115047443267514e-09,1,ok
1949,New Zealand,Google Ngrams,Sidney Holland,Peter Fraser,National,Labour,51.9,47.2,0.021020417475382726,0.9789795825246173,1.4613023568976757e-09,6.805693431033433e-08,0,ok
1951,New Zealand,Google Ngrams,Sidney Holland,Walter Nash,National,Labour,54.0,45.8,0.1891877133332303,0.8108122866667697,9.317584037660254e-09,3.993288721915178e-08,0,ok
1954,New Zealand,Google Ngrams,Sidney Holland,Walter Nash,National,Labour,44.3,44.1,0.16756631553602785,0.8324336844639721,5.7838207556670795e-09,2.873278681647662e-08,0,ok
1957,New Zealand,Google Ngrams,Walter Nash,Keith Holyoake,Labour,National,48.3,44.2,0.906210920676562,0.09378907932343805,3.5219207106251815e-08,3.6450421569966807e-09,1,ok
1960,New Zealand,Google Ngrams,Keith Holyoake,Walter Nash,National,Labour,47.6,43.4,0.13987801593799745,0.8601219840620026,1.4758001931625131e-08,9.074822671095717e-08,0,ok
1963,New Zealand,Google Ngrams,Keith Holyoake,Arnold Nordmeyer,National,Labour,47.1,43.7,0.9693443758654725,0.030655624134527493,8.546453500457574e-08,2.7028254634409166e-09,1,ok
1966,New Zealand,Google Ngrams,Keith Holyoake,Norman Kirk,National,Labour,43.6,41.4,0.9635179768465346,0.03648202315346538,1.7468949664589672e-07,6.6143304167098904e-09,1,ok
1969,New Zealand,Google Ngrams,Keith Holyoake,Norman Kirk,National,Labour,45.2,44.2,0.9546428362858304,0.045357163714169646,2.3201041443599024e-07,1.1023320922731727e-08,1,ok
1972,New Zealand,Google Ngrams,Norman Kirk,Jack Marshall,Labour,National,48.4,41.5,0.5935887931116454,0.40641120688835464,4.086368132760754e-08,2.797805187526592e-08,1,ok
1975,New Zealand,Google Ngrams,Robert Muldoon,Bill Rowling,National,Labour,47.6,39.6,0.6264978452307675,0.37350215476923254,1.3362555506546414e-08,7.966417303606477e-09,1,ok
1978,New Zealand,Google Ngrams,Robert Muldoon,Bill Rowling,National,Labour,39.8,40.4,0.8649003859187665,0.1350996140812335,4.957663080062957e-08,7.743994334674653e-09,1,ok
1981,New Zealand,Google Ngrams,Robert Muldoon,Bill Rowling,National,Labour,38.8,39.0,0.593132670287243,0.40686732971275696,7.322381989638416e-08,5.022886373495794e-08,1,ok
1984,New Zealand,Google Ngrams,David Lange,Robert Muldoon,Labour,National,43.0,35.9,0.5056229788435467,0.4943770211564533,8.913121440912164e-08,8.714877708371205e-08,1,ok
1987,New Zealand,Google Ngrams,David Lange,Jim Bolger,Labour,National,48.0,44.0,0.9209416648901891,0.07905833510981086,1.8974330373566772e-07,1.62885340770913e-08,1,ok
1990,New Zealand,Google Ngrams,Jim Bolger,Mike Moore,National,Labour,47.8,35.1,0.14415042021784097,0.855849579782159,1.6428997273720825e-08,9.75422089766198e-08,0,ok
1993,New Zealand,Google Ngrams,Jim Bolger,Mike Moore,National,Labour,35.1,34.7,0.3811040812021461,0.6188959187978539,4.8096366001004753e-08,7.810633917415544e-08,0,ok
1999,New Zealand,Google Ngrams,Helen Clark,Jenny Shipley,Labour,National,38.7,30.5,0.36939885934980454,0.6306011406501955,4.04418560862041e-08,6.903833060789566e-08,0,ok
2002,New Zealand,Google Ngrams,Helen Clark,Bill English,Labour,National,41.3,20.9,0.8834727443646916,0.11652725563530841,1.0606985867411822e-07,1.3990278269204737e-08,1,ok
2005,New Zealand,Google Ngrams,Helen Clark,Don Brash,Labour,National,41.1,39.1,0.8531437015051422,0.14685629849485782,9.597628292112859e-08,1.6520923296070578e-08,1,ok
2008,New Zealand,Google Ngrams,John Key,Helen Clark,National,Labour,44.9,34.0,0.14801893858019666,0.8519810614198033,1.2207168165190296e-08,7.026314463587369e-08,0,ok
2011,New Zealand,Google Ngrams,John Key,Phil Goff,National,Labour,47.3,27.5,0.7767918054843033,0.22320819451569673,2.230063778085878e-08,6.408004127322897e-09,1,ok
2014,New Zealand,Google Ngrams,John Key,David Cunliffe,National,Labour,47.0,25.1,0.945144890814125,0.054855109185874995,3.032770212740843e-08,1.7601845259118676e-09,1,ok
