year,source,winner_name,loser_name,winner_party,winner_mention_share,loser_mention_share,winner_vote_pct,loser_vote_pct,attention_leader_won,winner_raw_freq,loser_raw_freq,corpus,query_window
1960,Google Ngrams,John Kennedy,Richard Nixon,D,0.5,0.5,49.72,49.55,0,0.0,0.0,en-2019,1959-1960
1964,Google Ngrams,Lyndon Johnson,Barry Goldwater,D,0.536857,0.463143,61.05,38.47,1,1.5188653321729362e-06,1.310316690705804e-06,en-2019,1963-1964
1968,Google Ngrams,Richard Nixon,Hubert Humphrey,R,0.535124,0.464876,43.42,42.72,1,1.1878130976583634e-06,1.0318839827050397e-06,en-2019,1967-1968
1972,Google Ngrams,Richard Nixon,George McGovern,R,0.71439,0.28561,60.67,37.52,1,3.403224468456756e-06,1.3605950925921206e-06,en-2019,1971-1972
1976,Google Ngrams,Jimmy Carter,Gerald Ford,D,0.580327,0.419673,50.08,48.02,1,2.2822557923518616e-06,1.6504496329616813e-06,en-2019,1975-1976
1980,Google Ngrams,Ronald Reagan,Jimmy Carter,R,0.335485,0.664515,50.75,41.01,0,2.4393404487454973e-06,4.8317415348719805e-06,en-2019,1979-1980
1984,Google Ngrams,Ronald Reagan,Walter Mondale,R,0.82769,0.17231,58.77,40.56,1,6.0207084970897995e-06,1.253397925893296e-06,en-2019,1983-1984
1988,Google Ngrams,George Bush,Michael Dukakis,R,0.705407,0.294593,53.37,45.65,1,3.1749715958540037e-06,1.325932871054647e-06,en-2019,1987-1988
1992,Google Ngrams,Bill Clinton,George Bush,D,0.294316,0.705684,43.01,37.45,0,2.786832340007095e-06,6.682009825453861e-06,en-2019,1991-1992
1996,Google Ngrams,Bill Clinton,Bob Dole,D,0.675257,0.324743,49.24,40.71,1,5.073852889836417e-06,2.440107152779092e-06,en-2019,1995-1996
2000,Google Ngrams,Al Gore,George W. Bush,D,0.627481,0.372519,48.38,47.87,1,2.466065382122906e-06,1.4640370409324532e-06,en-2019,1999-2000
2004,Google Ngrams,George W. Bush,John Kerry,R,0.817487,0.182513,50.73,48.27,1,5.498886821442284e-06,1.227683725346651e-06,en-2019,2003-2004
2008,Google Ngrams,Barack Obama,John McCain,D,0.568764,0.431236,52.93,45.65,1,1.7762247068731085e-06,1.3467292774294037e-06,en-2019,2007-2008
2012,Google Ngrams,Barack Obama,Mitt Romney,D,0.931095,0.068905,51.06,47.2,1,4.2432623104105005e-06,3.1402134936797665e-07,en-2019,2011-2012
2016,Google Ngrams,Hillary Clinton,Donald Trump,D,0.601406,0.398594,48.18,46.09,1,1.5619818327650137e-06,1.0352366501820143e-06,en-2019,2015-2016
