year,window_years,winner_name,loser_name,winner_party,winner_mention_share,loser_mention_share,winner_vote_pct,loser_vote_pct,attention_leader_won,winner_raw_freq,loser_raw_freq
1960,1,John Kennedy,Richard Nixon,D,0.455434,0.544566,49.72,49.55,0,3.5207656878810667e-07,4.2098142216673295e-07
1960,2,John Kennedy,Richard Nixon,D,0.444137,0.555863,49.72,49.55,0,5.431466121308404e-07,6.797781679779291e-07
1960,3,John Kennedy,Richard Nixon,D,0.44224,0.55776,49.72,49.55,0,6.818940363473303e-07,8.600147367587851e-07
1964,1,Lyndon Johnson,Barry Goldwater,D,0.550866,0.449134,61.05,38.47,1,1.0887886219279608e-06,8.877134405338438e-07
1964,2,Lyndon Johnson,Barry Goldwater,D,0.536857,0.463143,61.05,38.47,1,1.5188653321729362e-06,1.310316690705804e-06
1964,3,Lyndon Johnson,Barry Goldwater,D,0.521611,0.478389,61.05,38.47,1,1.7795586302327138e-06,1.6321017710652086e-06
1968,1,Richard Nixon,Hubert Humphrey,R,0.557261,0.442739,43.42,42.72,1,9.360515491607657e-07,7.436856321874075e-07
1968,2,Richard Nixon,Hubert Humphrey,R,0.535124,0.464876,43.42,42.72,1,1.1878130976583634e-06,1.0318839827050397e-06
1968,3,Richard Nixon,Hubert Humphrey,R,0.5122,0.4878,43.42,42.72,1,1.4075883143505052e-06,1.340532577387421e-06
1972,1,Richard Nixon,George McGovern,R,0.664706,0.335294,60.67,37.52,1,2.061978648271179e-06,1.0401125791759114e-06
1972,2,Richard Nixon,George McGovern,R,0.71439,0.28561,60.67,37.52,1,3.403224468456756e-06,1.3605950925921206e-06
1972,3,Richard Nixon,George McGovern,R,0.743791,0.256209,60.67,37.52,1,4.557509214464517e-06,1.5698972219979623e-06
1976,1,Jimmy Carter,Gerald Ford,D,0.712666,0.287334,50.08,48.02,1,2.043434051302029e-06,8.238748705480248e-07
1976,2,Jimmy Carter,Gerald Ford,D,0.580327,0.419673,50.08,48.02,1,2.2822557923518616e-06,1.6504496329616813e-06
