year,country,source,winner_name,loser_name,winner_party,loser_party,winner_vote_pct,loser_vote_pct,winner_mention_share,loser_mention_share,winner_ngrams_freq,loser_ngrams_freq,attention_leader_won,status
1945,UK,Google Ngrams,Clement Attlee,Winston Churchill,Labour,Conservative,47.7,39.8,0.045934256983281276,0.9540657430167188,1.7250601658247433e-07,3.5829921216645744e-06,0,ok
1950,UK,Google Ngrams,Clement Attlee,Winston Churchill,Labour,Conservative,46.1,43.5,0.09039111694147772,0.9096088830585223,2.4535108167356157e-07,2.4689762767593493e-06,0,ok
1951,UK,Google Ngrams,Winston Churchill,Clement Attlee,Conservative,Labour,48.0,48.8,0.9104722466812906,0.08952775331870944,2.57300462180865e-06,2.530064193706494e-07,1,ok
1955,UK,Google Ngrams,Anthony Eden,Clement Attlee,Conservative,Labour,49.7,46.4,0.8567075191602769,0.14329248083972312,1.637976993151824e-06,2.739672311236063e-07,1,ok
1959,UK,Google Ngrams,Harold Macmillan,Hugh Gaitskell,Conservative,Labour,49.4,43.8,0.707281029511295,0.292718970488705,5.897747712424461e-07,2.4408722509861036e-07,1,ok
1966,UK,Google Ngrams,Harold Wilson,Edward Heath,Labour,Conservative,47.9,41.9,0.8717179991929858,0.12828200080701424,1.515083567937836e-06,2.2295966317642524e-07,1,ok
1970,UK,Google Ngrams,Edward Heath,Harold Wilson,Conservative,Labour,46.4,43.0,0.2551491275673904,0.7448508724326096,3.8490965437176783e-07,1.123657739299233e-06,0,ok
1974,UK,Google Ngrams,Harold Wilson,Edward Heath,Labour,Conservative,37.1,37.9,0.624040029404805,0.37595997059519504,8.899626493530377e-07,5.361680592841367e-07,1,ok
1979,UK,Google Ngrams,Margaret Thatcher,James Callaghan,Conservative,Labour,43.9,36.9,0.5674539503028837,0.4325460496971163,5.485402994054311e-07,4.1812897677573346e-07,1,ok
1983,UK,Google Ngrams,Margaret Thatcher,Neil Kinnock,Conservative,Labour,42.4,27.6,0.9166561721609907,0.08334382783900929,1.0573771760391537e-06,9.613840390443329e-08,1,ok
1987,UK,Google Ngrams,Margaret Thatcher,Neil Kinnock,Conservative,Labour,42.2,30.8,0.782618970214459,0.21738102978554097,1.3547548860515235e-06,3.7629807536632143e-07,1,ok
1992,UK,Google Ngrams,John Major,Neil Kinnock,Conservative,Labour,41.9,34.4,0.8004005931721805,0.19959940682781951,1.287535496885539e-06,3.210783745544177e-07,1,ok
1997,UK,Google Ngrams,Tony Blair,John Major,Labour,Conservative,43.2,30.7,0.44608260561448426,0.5539173943855158,8.518736649421044e-07,1.0578032743069343e-06,0,ok
2001,UK,Google Ngrams,Tony Blair,William Hague,Labour,Conservative,40.7,31.7,0.8963053764104475,0.1036946235895525,1.6122756392178417e-06,1.86526065704129e-07,1,ok
2005,UK,Google Ngrams,Tony Blair,Michael Howard,Labour,Conservative,35.2,32.4,0.8593991402312222,0.1406008597687778,2.249886733807216e-06,3.680897435742736e-07,1,ok
2010,UK,Google Ngrams,David Cameron,Gordon Brown,Conservative,Labour,36.1,29.0,0.2486612264143475,0.7513387735856525,3.075521846085394e-07,9.292799063587154e-07,0,ok
2015,UK,Google Ngrams,David Cameron,Ed Miliband,Conservative,Labour,36.9,30.4,0.8044596142389978,0.1955403857610022,7.734692530902976e-07,1.8800754375547513e-07,1,ok
2017,UK,Google Ngrams,Theresa May,Jeremy Corbyn,Conservative,Labour,42.4,40.0,0.6163127601511214,0.38368723984887865,3.062814570853334e-07,1.9067638135084053e-07,1,ok
2019,UK,Google Ngrams,Boris Johnson,Jeremy Corbyn,Conservative,Labour,43.6,32.2,0.4078097183145187,0.5921902816854814,2.3412538752154433e-07,3.3997909554273065e-07,0,ok
