year,state,state_po,d_candidate,d_votes,d_pct,r_candidate,r_votes,r_pct,winner_party,winner,loser,winner_pct,loser_pct
1976,ARIZONA,AZ,Dennis Deconcini,400334.0,0.5401087411125052,Sam Steiger,321236.0,0.4333940448725732,D,Dennis Deconcini,Sam Steiger,0.5401087411125052,0.4333940448725732
1976,CALIFORNIA,CA,John V. Tunney,3502862.0,0.46888717966703014,S. I. (Sam) Hayakawa,3748973.0,0.5018311816502748,R,S. I. (Sam) Hayakawa,John V. Tunney,0.5018311816502748,0.46888717966703014
1976,CONNECTICUT,CT,Gloria Schaffer,561018.0,0.41200852485117495,"Lowell P. Weicker, Jr.",785683.0,0.5770012616897242,R,"Lowell P. Weicker, Jr.",Gloria Schaffer,0.5770012616897242,0.41200852485117495
1976,DELAWARE,DE,Thomas C. Maloney,98042.0,0.43613959385217643,"William V. Roth, Jr.",125454.0,0.5580818078693921,R,"William V. Roth, Jr.",Thomas C. Maloney,0.5580818078693921,0.43613959385217643
1976,FLORIDA,FL,Lawton Chiles,1799518.0,0.6297450878974669,John Grady,1057886.0,0.37020941833063054,D,Lawton Chiles,John Grady,0.6297450878974669,0.37020941833063054
1976,HAWAII,HI,Spark M. Matsunaga,162305.0,0.5372701031473855,William Quinn,122724.0,0.40624710353137455,D,Spark M. Matsunaga,William Quinn,0.5372701031473855,0.40624710353137455
1976,INDIANA,IN,Vance Hartke,868522.0,0.40187267459965287,Richard G. Lugar,1275833.0,0.5903390127739987,R,Richard G. Lugar,Vance Hartke,0.5903390127739987,0.40187267459965287
1976,MAINE,ME,Edmund S. Muskie,292704.0,0.6020325261778758,Robert A. G. Monks,193489.0,0.39796747382212416,D,Edmund S. Muskie,Robert A. G. Monks,0.6020325261778758,0.39796747382212416
1976,MARYLAND,MD,Paul S. Sarbanes,772101.0,0.5655216107933113,"J. Glenn Beall, Jr.",530439.0,0.3885174578294721,D,Paul S. Sarbanes,"J. Glenn Beall, Jr.",0.5655216107933113,0.3885174578294721
1976,MASSACHUSETTS,MA,Edward M. Kennedy,1726657.0,0.6930872190923851,Michael S. Robertson,722641.0,0.2900710685979557,D,Edward M. Kennedy,Michael S. Robertson,0.6930872190923851,0.2900710685979557
1976,MICHIGAN,MI,"Donald W. Riegle, Jr.",1831031.0,0.5245887877992627,Marvin L. Esch,1635087.0,0.46845100234585485,D,"Donald W. Riegle, Jr.",Marvin L. Esch,0.5245887877992627,0.46845100234585485
1976,MINNESOTA,MN,Hubert H. Humphrey,1290736.0,0.6750640683674857,Jerry Brekke,478602.0,0.250312235227665,D,Hubert H. Humphrey,Jerry Brekke,0.6750640683674857,0.250312235227665
1976,MISSOURI,MO,Warren E. Hearnes,813571.0,0.4249610856325021,John C. Danforth,1090067.0,0.5693861454404897,R,John C. Danforth,Warren E. Hearnes,0.5693861454404897,0.4249610856325021
1976,MONTANA,MT,John Melcher,206232.0,0.6415778749086157,Stanley C. Burger,115213.0,0.3584221250913842,D,John Melcher,Stanley C. Burger,0.6415778749086157,0.3584221250913842
1976,NEBRASKA,NE,Edward Zorinsky,313805.0,0.528905631120325,John Y. Mccollister,279284.0,0.47072188232121487,D,Edward Zorinsky,John Y. Mccollister,0.528905631120325,0.47072188232121487
1976,NEVADA,NV,Howard W. Cannon,127214.0,0.6300873208881669,David Towell,63471.0,0.31437005631528636,D,Howard W. Cannon,David Towell,0.6300873208881669,0.31437005631528636
1976,NEW JERSEY,NJ,"Harrison A. Williams, Jr.",1681140.0,0.6066053496620829,David F. Norcross,1054508.0,0.3804978729085405,D,"Harrison A. Williams, Jr.",David F. Norcross,0.6066053496620829,0.3804978729085405
1976,NEW MEXICO,NM,Joseph M. Montoya,176382.0,0.4270171599008367,"Harrison \Jack\"" Schmitt""",234681.0,0.568157828478463,R,"Harrison \Jack\"" Schmitt""",Joseph M. Montoya,0.568157828478463,0.4270171599008367
1976,NEW YORK,NY,Daniel Patrick Moynihan,3238511.0,0.48576146995406394,James L. Buckley,2525139.0,0.37875901378081933,D,Daniel Patrick Moynihan,James L. Buckley,0.48576146995406394,0.37875901378081933
1976,NORTH DAKOTA,ND,Quentin N. Burdick,175772.0,0.6209664313825239,Robert Stroup,103466.0,0.3655241607845631,D,Quentin N. Burdick,Robert Stroup,0.6209664313825239,0.3655241607845631
1976,OHIO,OH,Howard M. Metzenbaum,1941113.0,0.49510446453143936,"Robert Taft, Jr.",1823774.0,0.4651757263468748,D,Howard M. Metzenbaum,"Robert Taft, Jr.",0.49510446453143936,0.4651757263468748
1976,PENNSYLVANIA,PA,William J. Green,2126977.0,0.4678424662581194,H. John Heinz Iii,2381891.0,0.523912463462472,R,H. John Heinz Iii,William J. Green,0.523912463462472,0.4678424662581194
1976,RHODE ISLAND,RI,Richard P. Lorber,167665.0,0.42031205346623013,John H. Chafee,230329.0,0.5774016936320837,R,John H. Chafee,Richard P. Lorber,0.5774016936320837,0.42031205346623013
1976,TENNESSEE,TN,James R. Sasser,751180.0,0.5245501890302406,Bill Brock,673231.0,0.4701182783234617,D,James R. Sasser,Bill Brock,0.5245501890302406,0.4701182783234617
1976,TEXAS,TX,Lloyd Bentsen,2199956.0,0.567843416627304,Alan Steelman,1636370.0,0.422372961853065,D,Lloyd Bentsen,Alan Steelman,0.567843416627304,0.422372961853065
1976,UTAH,UT,Frank E. Moss,223948.0,0.4289304128647713,Orrin G. Hatch,290221.0,0.5558639208746083,R,Orrin G. Hatch,Frank E. Moss,0.5558639208746083,0.4289304128647713
1976,VERMONT,VT,Thomas P. Salmon,85682.0,0.45320004231460914,Robert T. Stafford,94481.0,0.49974082301914735,R,Robert T. Stafford,Thomas P. Salmon,0.49974082301914735,0.45320004231460914
1976,WASHINGTON,WA,Henry M. Jackson,1071219.0,0.7184032577051608,George M. Brown,361546.0,0.24246752924497236,D,Henry M. Jackson,George M. Brown,0.7184032577051608,0.24246752924497236
1976,WISCONSIN,WI,William Proxmire,1396970.0,0.7218800495870417,Stanley York,521902.0,0.2696912901777248,D,William Proxmire,Stanley York,0.7218800495870417,0.2696912901777248
1976,WYOMING,WY,Gale Mcgee,70558.0,0.4541346995520313,Malcolm Wallop,84810.0,0.5458653004479687,R,Malcolm Wallop,Gale Mcgee,0.5458653004479687,0.4541346995520313
1978,ALASKA,AK,Donald Hobbs,29574.0,0.24094638303419394,Ted Stevens,92783.0,0.755925078009793,R,Ted Stevens,Donald Hobbs,0.755925078009793,0.24094638303419394
1978,ARKANSAS,AR,David Pryor,395506.0,0.7647977909184782,Tom Kelly,84308.0,0.1630280505397012,D,David Pryor,Tom Kelly,0.7647977909184782,0.1630280505397012
1978,COLORADO,CO,Floyd K. Haskell,330148.0,0.4029851474996826,William L. Armstrong,480801.0,0.5868751647836574,R,William L. Armstrong,Floyd K. Haskell,0.5868751647836574,0.4029851474996826
1978,DELAWARE,DE,Joseph R. Biden Jr.,93930.0,0.5795572338220051,James H. Baxter Jr.,66479.0,0.4101818944666568,D,Joseph R. Biden Jr.,James H. Baxter Jr.,0.5795572338220051,0.4101818944666568
1978,GEORGIA,GA,Sam Nunn,536320.0,0.8313388970870897,John W. Stokes,108808.0,0.1686611029129103,D,Sam Nunn,John W. Stokes,0.8313388970870897,0.1686611029129103
1978,IDAHO,ID,Dwight Jensen,89635.0,0.3155639735677546,James A. Mcclure,194412.0,0.6844360264322453,R,James A. Mcclure,Dwight Jensen,0.6844360264322453,0.3155639735677546
1978,ILLINOIS,IL,Alex Smith,1448187.0,0.4547234897154075,Charles H. Perey,1698711.0,0.5333867752838201,R,Charles H. Perey,Alex Smith,0.5333867752838201,0.4547234897154075
1978,IOWA,IA,Dick Clark,395066.0,0.47911411440546414,Roger W. Jepsen,421598.0,0.5112906511952809,R,Roger W. Jepsen,Dick Clark,0.5112906511952809,0.47911411440546414
1978,KANSAS,KS,Bill Roy,317602.0,0.42412588019587655,Nancy Landon Kassebaum,403354.0,0.5386391467324753,R,Nancy Landon Kassebaum,Bill Roy,0.5386391467324753,0.42412588019587655
1978,KENTUCKY,KY,Walter D. Huddleston,290730.0,0.6097742578909063,Louie Guenthner Jr. ,175766.0,0.368649888943188,D,Walter D. Huddleston,Louie Guenthner Jr. ,0.6097742578909063,0.368649888943188
1978,MAINE,ME,William D. Hathaway,127327.0,0.3394354782812692,William S. Cohen,212294.0,0.5659452859663996,R,William S. Cohen,William D. Hathaway,0.5659452859663996,0.3394354782812692
1978,MASSACHUSETTS,MA,Paul E. Tsongas,1093283.0,0.5505781336556378,Edward W. Brooke,890584.0,0.44849876617817397,D,Paul E. Tsongas,Edward W. Brooke,0.5505781336556378,0.44849876617817397
1978,MICHIGAN,MI,Carl Levin,1484193.0,0.5213859897492825,Robert P. Griffin,1362165.0,0.4785184586686714,D,Carl Levin,Robert P. Griffin,0.5213859897492825,0.4785184586686714
1978,MINNESOTA,MN,Wendell Anderson,638375.0,0.4038758159762423,Rudolph E. Boschwitz,894092.0,0.56565832944246,R,Rudolph E. Boschwitz,Wendell Anderson,0.56565832944246,0.4038758159762423
1978,MISSISSIPPI,MS,Maurice Dantin,187541.0,0.31773900609247824,Thad Cochran,267302.0,0.45287308805291443,R,Thad Cochran,Maurice Dantin,0.45287308805291443,0.31773900609247824
