cycle,party,candidate,is_nominee,search_interest,attention_share,window
2008,D,Barack Obama,1,11.68,0.3956,2007-07-01 2008-01-31
2008,D,Hillary Clinton,0,11.74,0.3976,2007-07-01 2008-01-31
2008,D,John Edwards,0,6.11,0.2068,2007-07-01 2008-01-31
2008,R,John McCain,1,5.5,0.2555,2007-07-01 2008-01-31
2008,R,Mitt Romney,0,7.85,0.3646,2007-07-01 2008-01-31
2008,R,Mike Huckabee,0,5.91,0.2743,2007-07-01 2008-01-31
2008,R,Rudy Giuliani,0,2.27,0.1056,2007-07-01 2008-01-31
2012,R,Mitt Romney,1,5.15,0.2032,2011-07-01 2012-01-31
2012,R,Newt Gingrich,0,4.09,0.1613,2011-07-01 2012-01-31
2012,R,Rick Santorum,0,3.08,0.1216,2011-07-01 2012-01-31
2012,R,Ron Paul,0,13.04,0.5139,2011-07-01 2012-01-31
2016,R,Donald Trump,1,24.16,0.6871,2015-07-01 2016-01-31
2016,R,Ted Cruz,0,2.93,0.0832,2015-07-01 2016-01-31
2016,R,Marco Rubio,0,1.6,0.0455,2015-07-01 2016-01-31
2016,R,Jeb Bush,0,1.86,0.0529,2015-07-01 2016-01-31
2016,R,Ben Carson,0,4.61,0.1312,2015-07-01 2016-01-31
2016,D,Hillary Clinton,1,9.49,0.3798,2015-07-01 2016-01-31
2016,D,Bernie Sanders,0,15.49,0.6202,2015-07-01 2016-01-31
2020,D,Joe Biden,1,10.92,0.222,2019-07-01 2020-01-31
2020,D,Bernie Sanders,0,15.2,0.3093,2019-07-01 2020-01-31
2020,D,Elizabeth Warren,0,10.47,0.2129,2019-07-01 2020-01-31
2020,D,Pete Buttigieg,0,5.73,0.1167,2019-07-01 2020-01-31
2020,D,Kamala Harris,0,6.84,0.1392,2019-07-01 2020-01-31
2024,R,Donald Trump,1,7.0,0.6314,2023-07-01 2024-01-31
2024,R,Ron DeSantis,0,1.67,0.1511,2023-07-01 2024-01-31
2024,R,Nikki Haley,0,2.41,0.2175,2023-07-01 2024-01-31
