date,George W. Bush,John Kerry
2003-12-28,3,2
2004-01-04,4,4
2004-01-11,4,7
2004-01-18,5,40
2004-01-25,5,41
2004-02-01,5,34
2004-02-08,6,59
2004-02-15,6,37
2004-02-22,5,23
2004-02-29,5,32
2004-03-07,5,31
2004-03-14,5,27
2004-03-21,5,23
2004-03-28,5,24
2004-04-04,4,19
2004-04-11,6,20
2004-04-18,5,26
2004-04-25,5,24
2004-05-02,5,22
2004-05-09,5,18
2004-05-16,5,24
2004-05-23,4,20
2004-05-30,4,17
2004-06-06,5,14
2004-06-13,3,15
2004-06-20,3,16
2004-06-27,4,23
2004-07-04,5,47
2004-07-11,4,30
2004-07-18,4,28
2004-07-25,7,86
2004-08-01,6,47
2004-08-08,5,36
2004-08-15,5,33
2004-08-22,6,40
2004-08-29,10,46
2004-09-05,9,41
2004-09-12,8,35
2004-09-19,9,42
2004-09-26,12,58
2004-10-03,13,63
2004-10-10,14,72
2004-10-17,17,79
2004-10-24,21,90
2004-10-31,23,100
