date,Barack Obama,Mitt Romney
2011-11-06,3,4
2011-11-13,3,4
2011-11-20,3,4
2011-11-27,4,4
2011-12-04,3,5
2011-12-11,3,7
2011-12-18,3,5
2011-12-25,2,6
2012-01-01,3,17
2012-01-08,4,26
2012-01-15,4,19
2012-01-22,7,22
2012-01-29,5,20
2012-02-05,5,10
2012-02-12,5,8
2012-02-19,5,8
2012-02-26,5,10
2012-03-04,4,13
2012-03-11,4,8
2012-03-18,4,9
2012-03-25,4,6
2012-04-01,4,8
2012-04-08,4,10
2012-04-15,4,10
2012-04-22,4,9
2012-04-29,4,7
2012-05-06,5,11
2012-05-13,5,9
2012-05-20,4,6
2012-05-27,4,8
2012-06-03,4,6
2012-06-10,4,5
2012-06-17,3,7
2012-06-24,4,8
2012-07-01,4,8
2012-07-08,5,11
2012-07-15,6,13
2012-07-22,4,13
2012-07-29,6,14
2012-08-05,5,18
2012-08-12,5,19
2012-08-19,5,15
2012-08-26,9,52
2012-09-02,19,37
2012-09-09,10,27
2012-09-16,9,45
2012-09-23,9,29
2012-09-30,14,55
2012-10-07,10,35
2012-10-14,15,51
2012-10-21,20,54
2012-10-28,16,42
2012-11-04,54,100
