date,Hillary Clinton,Donald Trump
2015-11-08,2,8
2015-11-15,2,7
2015-11-22,1,6
2015-11-29,1,6
2015-12-06,2,15
2015-12-13,2,10
2015-12-20,4,10
2015-12-27,2,6
2016-01-03,2,8
2016-01-10,3,9
2016-01-17,4,9
2016-01-24,4,14
2016-01-31,7,13
2016-02-07,7,12
2016-02-14,5,14
2016-02-21,6,22
2016-02-28,10,36
2016-03-06,8,23
2016-03-13,9,26
2016-03-20,5,17
2016-03-27,6,14
2016-04-03,6,13
2016-04-10,5,10
2016-04-17,6,12
2016-04-24,6,13
2016-05-01,7,17
2016-05-08,6,13
2016-05-15,5,11
2016-05-22,6,11
2016-05-29,6,10
2016-06-05,14,12
2016-06-12,7,14
2016-06-19,5,11
2016-06-26,6,9
2016-07-03,11,10
2016-07-10,7,10
2016-07-17,13,31
2016-07-24,25,22
2016-07-31,10,19
2016-08-07,8,13
2016-08-14,7,12
2016-08-21,8,11
2016-08-28,6,11
2016-09-04,8,11
2016-09-11,26,12
2016-09-18,10,11
2016-09-25,21,23
2016-10-02,11,25
2016-10-09,21,40
2016-10-16,18,29
2016-10-23,18,20
2016-10-30,25,20
2016-11-06,58,100
