date,Joe Biden,Donald Trump
2019-11-03,1,15
2019-11-10,1,13
2019-11-17,3,13
2019-11-24,1,10
2019-12-01,4,10
2019-12-08,2,12
2019-12-15,3,43
2019-12-22,1,11
2019-12-29,2,13
2020-01-05,1,19
2020-01-12,2,11
2020-01-19,3,11
2020-01-26,3,11
2020-02-02,4,19
2020-02-09,5,12
2020-02-16,4,12
2020-02-23,5,11
2020-03-01,25,12
2020-03-08,16,18
2020-03-15,8,19
2020-03-22,9,16
2020-03-29,4,12
2020-04-05,9,12
2020-04-12,9,14
2020-04-19,6,13
2020-04-26,10,11
2020-05-03,6,10
2020-05-10,5,11
2020-05-17,8,11
2020-05-24,9,15
2020-05-31,8,29
2020-06-07,7,18
2020-06-14,7,19
2020-06-21,9,19
2020-06-28,8,25
2020-07-05,8,17
2020-07-12,7,15
2020-07-19,8,14
2020-07-26,9,14
2020-08-02,13,13
2020-08-09,22,15
2020-08-16,26,20
2020-08-23,12,21
2020-08-30,13,13
2020-09-06,10,13
2020-09-13,13,13
2020-09-20,12,12
2020-09-27,37,43
2020-10-04,20,32
2020-10-11,20,18
2020-10-18,27,21
2020-10-25,24,20
2020-11-01,100,74
