year,state,source,winner,loser,winner_party,winner_mention_share,loser_mention_share,winner_vote_pct,loser_vote_pct,attention_leader_won,winner_trends_sum,loser_trends_sum,geo,timeframe,status
2016,AL,Google Trends,Richard C. Shelby,Ron Crumpton,R,0.0,1.0,0.639587936251224,0.3586726158881388,0.0,0.0,267.0,US-AL,2015-11-09 2016-11-08,
2016,AK,Google Trends,Lisa Murkowski,Ray Metcalfe,R,1.0,0.0,0.4435800039172748,0.1162338934180149,1.0,648.0,0.0,US-AK,2015-11-09 2016-11-08,
2016,AZ,Google Trends,John Mccain,Ann Kirkpatrick,R,0.776286,0.223714,0.5371047089179802,0.4074891434487282,1.0,1041.0,300.0,US-AZ,2015-11-09 2016-11-08,
2016,AR,Google Trends,John Boozman,Conner Eldridge,R,0.457534,0.542466,0.5977163433322318,0.3617101962760107,0.0,334.0,396.0,US-AR,2015-11-09 2016-11-08,
2016,CO,Google Trends,Michael F. Bennet,Darryl Glenn,D,0.008117,0.991883,0.4997078041270525,0.4430578963428305,0.0,5.0,611.0,US-CO,2015-11-09 2016-11-08,
2016,CT,Google Trends,Richard Blumenthal,Dan Carter,D,0.635434,0.364566,0.5768213015794261,0.3461938912819587,1.0,373.0,214.0,US-CT,2015-11-09 2016-11-08,
2016,FL,Google Trends,Marco Rubio,Patrick Murphy,R,0.830479,0.169521,0.5198112842432986,0.4431485451234274,1.0,970.0,198.0,US-FL,2015-11-09 2016-11-08,
2016,GA,Google Trends,Johnny Isakson,Jim Barksdale,R,0.612489,0.387511,0.5478385217276436,0.4103329267776551,1.0,716.0,453.0,US-GA,2015-11-09 2016-11-08,
2016,HI,Google Trends,Brian Schatz,John Carroll,D,0.704958,0.295042,0.7005465379834759,0.2116989288586678,1.0,583.0,244.0,US-HI,2015-11-09 2016-11-08,
2016,ID,Google Trends,Mike Crapo,Jerry Sturgill,R,0.805882,0.194118,0.6613471233962203,0.2772677529630617,1.0,274.0,66.0,US-ID,2015-11-09 2016-11-08,
2016,IL,Google Trends,Tammy Duckworth,Mark Kirk,D,0.526253,0.473747,0.5486174310499978,0.3978041755479637,1.0,441.0,397.0,US-IL,2015-11-09 2016-11-08,
2016,IN,Google Trends,Todd C. Young,Evan Bayh,R,0.006211,0.993789,0.5211224257523935,0.4241271693138926,0.0,4.0,640.0,US-IN,2015-11-09 2016-11-08,
2016,IA,Google Trends,Chuck Grassley,Patty Judge,R,0.756164,0.243836,0.6008990056040222,0.356552345305366,1.0,828.0,267.0,US-IA,2015-11-09 2016-11-08,
2016,KS,Google Trends,Jerry Moran,Patrick Wiesner,R,0.691111,0.308889,0.6217525438866071,0.3223812782170636,1.0,622.0,278.0,US-KS,2015-11-09 2016-11-08,
2016,KY,Google Trends,Rand Paul,Jim Gray,R,0.739938,0.260062,0.5727328845027359,0.4272450504737413,1.0,956.0,336.0,US-KY,2015-11-09 2016-11-08,
2016,LA,Google Trends,John Kennedy,Foster Campbell,R,0.859922,0.140078,0.2684689402959516,0.1741502429879963,1.0,884.0,144.0,US-LA,2015-11-09 2016-11-08,
2016,MD,Google Trends,Chris Van Hollen,Kathy Szeliga,D,0.715241,0.284759,0.6088787566439363,0.3567484786348613,1.0,535.0,213.0,US-MD,2015-11-09 2016-11-08,
2016,MO,Google Trends,Roy Blunt,Jason Kander,R,0.535425,0.464575,0.4918432176553724,0.463920229412514,1.0,529.0,459.0,US-MO,2015-11-09 2016-11-08,
2016,NV,Google Trends,Catherine Cortez Masto,Joseph J. Heck,D,1.0,0.0,0.4709887448637275,0.4467036724912342,1.0,526.0,0.0,US-NV,2015-11-09 2016-11-08,
2016,NH,Google Trends,Maggie Hassan,Kelly Ayotte,D,0.353765,0.646235,0.4798130259490759,0.4784371025786725,0.0,202.0,369.0,US-NH,2015-11-09 2016-11-08,
2016,NY,Google Trends,Charles E. Schumer,Wendy Long,D,0.0,1.0,0.613304532591522,0.2209957407805043,0.0,0.0,266.0,US-NY,2015-11-09 2016-11-08,
2016,NC,Google Trends,Richard Burr,Deborah K. Ross,R,0.992238,0.007762,0.5106177974489319,0.4536569310654803,1.0,767.0,6.0,US-NC,2015-11-09 2016-11-08,
2016,ND,Google Trends,John Hoeven,Eliot Glassheim,R,1.0,0.0,0.7847801904228017,0.1696812564050908,1.0,100.0,0.0,US-ND,2015-11-09 2016-11-08,
2016,OH,Google Trends,Rob Portman,Ted Strickland,R,0.617584,0.382416,0.5802887667737717,0.3715755604034413,1.0,864.0,535.0,US-OH,2015-11-09 2016-11-08,
2016,OK,Google Trends,James Lankford,Mike Workman,R,0.636957,0.363043,0.677389615116084,0.2457869116126755,1.0,293.0,167.0,US-OK,2015-11-09 2016-11-08,
2016,OR,Google Trends,Ron Wyden,Mark Callahan,D,0.820093,0.179907,0.5660084262153018,0.3334767408390773,1.0,702.0,154.0,US-OR,2015-11-09 2016-11-08,
2016,PA,Google Trends,Patrick J. Toomey,Katie Mcginty,R,0.004556,0.995444,0.4877350022869017,0.4734104711017579,0.0,2.0,437.0,US-PA,2015-11-09 2016-11-08,
2016,SC,Google Trends,Tim Scott,Thomas Dixon,R,0.855401,0.144599,0.6056945411297078,0.3436959880344974,1.0,491.0,83.0,US-SC,2015-11-09 2016-11-08,
2016,SD,Google Trends,John R. Thune,Jay Williams,R,0.0,1.0,0.7182786157941438,0.2817213842058562,0.0,0.0,244.0,US-SD,2015-11-09 2016-11-08,
2016,UT,Google Trends,Mike Lee,Misty K. Snow,R,1.0,0.0,0.6814553466662723,0.270583183859919,1.0,789.0,0.0,US-UT,2015-11-09 2016-11-08,
2016,VT,Google Trends,Patrick J. Leahy,Scott Milne,D,0.0,1.0,0.5998839194051182,0.3233936723594005,0.0,0.0,180.0,US-VT,2015-11-09 2016-11-08,
2016,WA,Google Trends,Patty Murray,Chris Vance,D,0.757052,0.242948,0.5901301044578745,0.4098698955421255,1.0,832.0,267.0,US-WA,2015-11-09 2016-11-08,
2016,WI,Google Trends,Ron Johnson,Russ Feingold,R,0.599792,0.400208,0.5017297212607007,0.468109949297005,1.0,577.0,385.0,US-WI,2015-11-09 2016-11-08,
2018,AZ,Google Trends,Kyrsten Sinema,Martha Mcsally,D,0.568765,0.431235,0.4995579430174289,0.4761129854028926,1.0,244.0,185.0,US-AZ,2017-11-08 2018-11-06,
2018,CT,Google Trends,Christopher S Murphy,Matthew Corey,D,0.0,1.0,0.5679710709238268,0.3934967263707421,0.0,0.0,300.0,US-CT,2017-11-08 2018-11-06,
2018,DE,Google Trends,Thomas R Carper,Robert B Arlett,D,0.0,1.0,0.5995306018886242,0.3781853984643897,0.0,0.0,100.0,US-DE,2017-11-08 2018-11-06,
2018,FL,Google Trends,Rick Scott,Bill Nelson,R,0.577236,0.422764,0.5005497554641297,0.4993247256869806,1.0,284.0,208.0,US-FL,2017-11-08 2018-11-06,
2018,HI,Google Trends,Mazie K. Hirono,Ron Curtis,D,0.0,1.0,0.7115109784705074,0.2884890215294926,0.0,0.0,272.0,US-HI,2017-11-08 2018-11-06,
2018,IN,Google Trends,Mike Braun,Joe Donnelly,R,0.479791,0.520209,0.507323997345092,0.4484222793217279,0.0,368.0,399.0,US-IN,2017-11-08 2018-11-06,
2018,ME,Google Trends,Eric L. Brakey,Zak Ringelstein,R,0.081967,0.918033,0.3522995417782534,0.1044562734765742,0.0,35.0,392.0,US-ME,2017-11-08 2018-11-06,
2018,MD,Google Trends,Ben Cardin,Tony Campbell,D,0.750424,0.249576,0.6485591261143473,0.3030654957695784,1.0,442.0,147.0,US-MD,2017-11-08 2018-11-06,
2018,MA,Google Trends,Elizabeth A. Warren,Geoff Diehl,D,0.009238,0.990762,0.6033678230129031,0.3617205190813752,0.0,4.0,429.0,US-MA,2017-11-08 2018-11-06,
2018,MI,Google Trends,Debbie Stabenow,John James,D,0.296241,0.703759,0.5226189214709184,0.457562898384361,0.0,197.0,468.0,US-MI,2017-11-08 2018-11-06,
2018,MN,Google Trends,Amy Klobuchar,Jim Newberger,D,0.886818,0.113182,0.6030985656243514,0.3621412472433255,1.0,666.0,85.0,US-MN,2017-11-08 2018-11-06,
2018,MS,Google Trends,Roger F. Wicker,David Baria,R,0.0,1.0,0.5849286755713164,0.3947458649989586,0.0,0.0,427.0,US-MS,2017-11-08 2018-11-06,
2018,MO,Google Trends,Josh Hawley,Claire Mccaskill,R,0.445122,0.554878,0.5138323105905976,0.4556934089290825,0.0,292.0,364.0,US-MO,2017-11-08 2018-11-06,
2018,MT,Google Trends,Jon Tester,Matt Rosendale,D,0.694915,0.305085,0.5033387260499936,0.4678241181322167,1.0,287.0,126.0,US-MT,2017-11-08 2018-11-06,
2018,NE,Google Trends,Deb Fischer,Jane Raybould,R,0.696782,0.303218,0.576850488565325,0.3862119982886978,1.0,563.0,245.0,US-NE,2017-11-08 2018-11-06,
2018,NV,Google Trends,Jacky Rosen,Dean Heller,D,0.435065,0.564935,0.5041198108898791,0.4538498886982426,0.0,268.0,348.0,US-NV,2017-11-08 2018-11-06,
2018,NJ,Google Trends,Robert Menendez,Bob Hugin,D,0.162371,0.837629,0.5400714982125446,0.4282809191906124,0.0,63.0,325.0,US-NJ,2017-11-08 2018-11-06,
2018,NM,Google Trends,Martin T Heinrich,Mick Rich,D,0.0,1.0,0.540877345009842,0.3053218595949568,0.0,0.0,328.0,US-NM,2017-11-08 2018-11-06,
2018,NY,Google Trends,Kirsten E. Gillibrand,Chele Chiavacci Farley,D,0.145946,0.854054,0.6202139302554139,0.2857796609861587,0.0,27.0,158.0,US-NY,2017-11-08 2018-11-06,
2018,ND,Google Trends,Kevin Cramer,Heidi Heitkamp,R,0.353659,0.646341,0.5510550748456176,0.4426837719002385,0.0,348.0,636.0,US-ND,2017-11-08 2018-11-06,
2018,OH,Google Trends,Sherrod Brown,Jim Renacci,D,0.780105,0.219895,0.5341141418368777,0.4656564264238257,1.0,447.0,126.0,US-OH,2017-11-08 2018-11-06,
2018,PA,Google Trends,Robert P Casey Jr,Louis J. Barletta,D,1.0,0.0,0.5561318396530043,0.427427545872648,1.0,100.0,0.0,US-PA,2017-11-08 2018-11-06,
2018,RI,Google Trends,Sheldon Whitehouse,"Robert G. Flanders, Jr.",D,1.0,0.0,0.614424347955343,0.3833459858044583,1.0,460.0,0.0,US-RI,2017-11-08 2018-11-06,
2018,TN,Google Trends,Marsha Blackburn,Phil Bredesen,R,0.5703,0.4297,0.5470700705072781,0.4391997290238619,1.0,361.0,272.0,US-TN,2017-11-08 2018-11-06,
2018,TX,Google Trends,Ted Cruz,Beto O'Rourke,R,0.631783,0.368217,0.508926012837366,0.4832535502239402,1.0,326.0,190.0,US-TX,2017-11-08 2018-11-06,
2018,UT,Google Trends,Mitt Romney,Jenny Wilson,R,0.832723,0.167277,0.6258814784846333,0.3091146874661875,1.0,682.0,137.0,US-UT,2017-11-08 2018-11-06,
2018,WA,Google Trends,Maria Cantwell,Susan Hutchison,D,0.687713,0.312287,0.5843375992492955,0.4156624007507044,1.0,403.0,183.0,US-WA,2017-11-08 2018-11-06,
2018,VA,Google Trends,Timothy M. Kaine,Corey A. Stewart,D,,,0.5700260758799454,0.4100746171792874,,,,US-VA,,skip
2018,WV,Google Trends,Joe Manchin,Patrick Morrisey,D,,,0.4954581402649804,0.4629729066701434,,,,US-WV,,skip
2018,WI,Google Trends,Tammy Baldwin,Leah Vukmir,D,,,0.5541768676154819,0.445807330084832,,,,US-WI,,skip
2018,WY,Google Trends,John Barrasso,Gary Trauner,R,,,0.669599842690001,0.3009881034313243,,,,US-WY,,skip
