year,state,source,winner,loser,winner_party,winner_mention_share,loser_mention_share,winner_vote_pct,loser_vote_pct,attention_leader_won,winner_views,loser_views,winner_article,loser_article
2016,AK,Wikipedia Pageviews,Lisa Murkowski,Ray Metcalfe,R,0.825883,0.174117,0.4435800039172748,0.1162338934180149,1,57811,12188,Frank_Murkowski,Ray_Metcalfe
2016,AZ,Wikipedia Pageviews,John Mccain,Ann Kirkpatrick,R,0.957875,0.042125,0.5371047089179802,0.4074891434487282,1,2905766,127790,John_McCain,Ann_Kirkpatrick
2016,AR,Wikipedia Pageviews,John Boozman,Conner Eldridge,R,0.677794,0.322206,0.5977163433322318,0.3617101962760107,1,66009,31379,John_Boozman,Conner_Eldridge
2016,FL,Wikipedia Pageviews,Marco Rubio,Patrick Murphy,R,0.938203,0.061797,0.5198112842432986,0.4431485451234274,1,4944108,325655,Marco_Rubio,Patrick_Murphy_(Florida_politician)
2016,HI,Wikipedia Pageviews,Brian Schatz,John Carroll,D,0.952179,0.047821,0.7005465379834759,0.2116989288586678,1,114310,5741,Brian_Schatz,John_Carroll_(Hawaii_politician)
2016,IL,Wikipedia Pageviews,Tammy Duckworth,Mark Kirk,D,0.682438,0.317562,0.5486174310499978,0.3978041755479637,1,767391,357093,Tammy_Duckworth,Mark_Kirk
2016,IN,Wikipedia Pageviews,Todd C. Young,Evan Bayh,R,0.294284,0.705716,0.5211224257523935,0.4241271693138926,0,124388,298292,Todd_Young,Evan_Bayh
2016,KY,Wikipedia Pageviews,Rand Paul,Jim Gray,R,0.937989,0.062011,0.5727328845027359,0.4272450504737413,1,1196221,79083,Rand_Paul,Jim_Gray_(American_politician)
2016,MD,Wikipedia Pageviews,Chris Van Hollen,Kathy Szeliga,D,0.756317,0.243683,0.6088787566439363,0.3567484786348613,1,150911,48623,Chris_Van_Hollen,Kathy_Szeliga
2016,MO,Wikipedia Pageviews,Roy Blunt,Jason Kander,R,0.507054,0.492946,0.4918432176553724,0.463920229412514,1,190391,185094,Roy_Blunt,Jason_Kander
2016,NV,Wikipedia Pageviews,Catherine Cortez Masto,Joseph J. Heck,D,0.552233,0.447767,0.4709887448637275,0.4467036724912342,1,153276,124281,Catherine_Cortez_Masto,Joe_Heck
2016,NH,Wikipedia Pageviews,Maggie Hassan,Kelly Ayotte,D,0.477118,0.522882,0.4798130259490759,0.4784371025786725,0,404934,443775,Maggie_Hassan,Kelly_Ayotte
2016,ND,Wikipedia Pageviews,John Hoeven,Eliot Glassheim,R,0.880984,0.119016,0.7847801904228017,0.1696812564050908,1,55961,7560,John_Hoeven,Eliot_Glassheim
2016,OH,Wikipedia Pageviews,Rob Portman,Ted Strickland,R,0.536764,0.463236,0.5802887667737717,0.3715755604034413,1,250322,216032,Rob_Portman,Ted_Strickland
