candidate,state,year,wiki_title
Abby Broyles,OKLAHOMA,2020,2020_United_States_Senate_election_in_Oklahoma
Adrian Perkins,LOUISIANA,2020,Adrian_Perkins
Al Gross,ALASKA,2020,2020_United_States_Senate_election_in_Alaska
Allen R. Waters,RHODE ISLAND,2020,2020_United_States_Senate_election_in_Rhode_Island
Amy Klobuchar,MINNESOTA,2018,Amy_Klobuchar
Amy Mcgrath,KENTUCKY,2020,Amy_McGrath
Ann Kirkpatrick,ARIZONA,2016,Ann_Kirkpatrick
Barbara Bollier,KANSAS,2020,Barbara_Bollier
Ben Cardin,MARYLAND,2018,Ben_Cardin
Ben R. Lujan,NEW MEXICO,2020,Ben_Ray_Luján
Ben Sasse,NEBRASKA,2020,Ben_Sasse
Beto O'Rourke,TEXAS,2018,Beto_O'Rourke
Bill Hagerty,TENNESSEE,2020,Bill_Hagerty
Bill Nelson,FLORIDA,2018,Bill_Nelson
Bob Hugin,NEW JERSEY,2018,Bob_Hugin
Brian Schatz,HAWAII,2016,Brian_Schatz
Cal Cunningham,NORTH CAROLINA,2020,Cal_Cunningham
Catherine Cortez Masto,NEVADA,2016,Catherine_Cortez_Masto
Charles E. Schumer,NEW YORK,2016,Chuck_Schumer
Chele Chiavacci Farley,NEW YORK,2018,2018_United_States_Senate_election_in_New_York
Chris Janicek,NEBRASKA,2020,2020_United_States_Senate_election_in_Nebraska
Chris Van Hollen,MARYLAND,2016,Chris_Van_Hollen
Chris Vance,WASHINGTON,2016,Chris_Vance_(politician)
Christopher A. Coons,DELAWARE,2020,Chris_Coons
Christopher S Murphy,CONNECTICUT,2018,Chris_Murphy
Chuck Grassley,IOWA,2016,Chuck_Grassley
Cindy Hyde-Smith,MISSISSIPPI,2020,Cindy_Hyde-Smith
Claire Mccaskill,MISSOURI,2018,Claire_McCaskill
Conner Eldridge,ARKANSAS,2016,Conner_Eldridge
Corey A. Stewart,VIRGINIA,2018,2018_United_States_Senate_election_in_Virginia
Corky Messner,NEW HAMPSHIRE,2020,2020_United_States_Senate_election_in_New_Hampshire
Cory Booker,NEW JERSEY,2020,Cory_Booker
Cory Gardner,COLORADO,2020,Cory_Gardner
Dan Ahlers,SOUTH DAKOTA,2020,Dan_Ahlers
Dan Carter,CONNECTICUT,2016,2016_United_States_Senate_election_in_Connecticut
Dan Sullivan,ALASKA,2020,Dan_Sullivan_(U.S._senator)
Daniel M. Gade,VIRGINIA,2020,Daniel_Gade
Darryl Glenn,COLORADO,2016,2016_United_States_Senate_election_in_Colorado
David A. Perdue,GEORGIA,2020,David_Perdue
David Baria,MISSISSIPPI,2018,David_Baria
Dean Heller,NEVADA,2018,Dean_Heller
Deb Fischer,NEBRASKA,2018,Deb_Fischer
Debbie Stabenow,MICHIGAN,2018,Debbie_Stabenow
Deborah K. Ross,NORTH CAROLINA,2016,Deborah_Ross_(politician)
Doug Jones,ALABAMA,2020,Doug_Jones_(politician)
Edward J. Markey,MASSACHUSETTS,2020,Ed_Markey
Eliot Glassheim,NORTH DAKOTA,2016,Eliot_Glassheim
Elizabeth A. Warren,MASSACHUSETTS,2018,Elizabeth_Warren
Eric L. Brakey,MAINE,2018,2024_Maine_Senate_election
Evan Bayh,INDIANA,2016,Evan_Bayh
Foster Campbell,LOUISIANA,2016,John_Kennedy_(Louisiana_politician)
Gary Peters,MICHIGAN,2020,Gary_Peters
Gary Trauner,WYOMING,2018,Gary_Trauner
Geoff Diehl,MASSACHUSETTS,2018,Geoff_Diehl
Heidi Heitkamp,NORTH DAKOTA,2018,Heidi_Heitkamp
Jacky Rosen,NEVADA,2018,Jacky_Rosen
Jaime Harrison,SOUTH CAROLINA,2020,Jaime_Harrison
James Lankford,OKLAHOMA,2016,James_Lankford
Jane Raybould,NEBRASKA,2018,Jane_Raybould
Jason Kander,MISSOURI,2016,Jason_Kander
Jason Lewis,MINNESOTA,2020,Jason_Lewis_(Minnesota_politician)
Jay Williams,SOUTH DAKOTA,2016,2016_United_States_Senate_election_in_South_Dakota
Jeanne Shaheen,NEW HAMPSHIRE,2020,Jeanne_Shaheen
Jeff Merkley,OREGON,2020,Jeff_Merkley
Jenny Wilson,UTAH,2018,Jenny_Wilson_(politician)
Jerry Moran,KANSAS,2016,Jerry_Moran
Jerry Sturgill,IDAHO,2016,2016_United_States_Senate_election_in_Idaho
Jim Barksdale,GEORGIA,2016,2016_United_States_Senate_election_in_Georgia
Jim Gray,KENTUCKY,2016,Jim_Gray_(American_politician)
Jim Inhofe ,OKLAHOMA,2020,Jim_Inhofe
Jim Newberger,MINNESOTA,2018,2018_United_States_Senate_election_in_Minnesota
Jim Renacci,OHIO,2018,Jim_Renacci
Jim Risch,IDAHO,2020,Jim_Risch
Jo Rae Perkins,OREGON,2020,Jo_Rae_Perkins
Joe Donnelly,INDIANA,2018,Joe_Donnelly
Joe Manchin,WEST VIRGINIA,2018,Joe_Manchin
John Barrasso,WYOMING,2018,John_Barrasso
John Boozman,ARKANSAS,2016,John_Boozman
John Carroll,HAWAII,2016,John_Carroll_(Hawaii_politician)
John Cornyn,TEXAS,2020,John_Cornyn
John F. Reed,RHODE ISLAND,2020,Jack_Reed_(Rhode_Island_politician)
John Hoeven,NORTH DAKOTA,2016,John_Hoeven
John James,MICHIGAN,2018,John_James_(Michigan_politician)
John James,MICHIGAN,2020,John_James_(Michigan_politician)
John Kennedy,LOUISIANA,2016,John_Kennedy_(Louisiana_politician)
John Mccain,ARIZONA,2016,John_McCain
John R. Thune,SOUTH DAKOTA,2016,John_Thune
John W. Hickenlooper,COLORADO,2020,2020_United_States_Senate_election_in_Colorado
Johnny Isakson,GEORGIA,2016,Johnny_Isakson
Jon Ossoff,GEORGIA,2020,Jon_Ossoff
Jon Tester,MONTANA,2018,Jon_Tester
Joni Ernst,IOWA,2020,Joni_Ernst
Joseph J. Heck,NEVADA,2016,Joe_Heck
Josh Hawley,MISSOURI,2018,Josh_Hawley
Kathy Szeliga,MARYLAND,2016,Kathy_Szeliga
Katie Mcginty,PENNSYLVANIA,2016,Katie_McGinty
Kelly Ayotte,NEW HAMPSHIRE,2016,Kelly_Ayotte
Kevin Cramer,NORTH DAKOTA,2018,Kevin_Cramer
Kevin J. O'Conner,MASSACHUSETTS,2020,Sandra_Day_O'Connor
Kirsten E. Gillibrand,NEW YORK,2018,Kirsten_Gillibrand
Kyrsten Sinema,ARIZONA,2018,Kyrsten_Sinema
Lauren Witzke,DELAWARE,2020,Lauren_Witzke
Leah Vukmir,WISCONSIN,2018,Leah_Vukmir
Lindsey Graham,SOUTH CAROLINA,2020,Lindsey_Graham
Lisa Murkowski,ALASKA,2016,Frank_Murkowski
Louis J. Barletta,PENNSYLVANIA,2018,Lou_Barletta
Maggie Hassan,NEW HAMPSHIRE,2016,Maggie_Hassan
Marco Rubio,FLORIDA,2016,Marco_Rubio
Maria Cantwell,WASHINGTON,2018,Maria_Cantwell
Mark C. Curran Jr.,ILLINOIS,2020,Mark_Curran
Mark Callahan,OREGON,2016,Mark_Callahan
Mark Kirk,ILLINOIS,2016,Mark_Kirk
Mark R. Warner,VIRGINIA,2020,Mark_Warner
